Protein,Len,S0,S0,S0,S0,S0,S0,S0,S0,S0,S0,S1,S1,S1,S1,S1,S1,S1,S1,S1,S1,LogFoldChange,Zstatistic
lcl|c213743_g5_i1|m.3191,186,1,0,1,1,1,0,1,1,1,0,0,0,1,0,2,0,0,0,0,1,0.105,0.2406
lcl|c213783_g1_i1|m.3203,417,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029,0.0654
lcl|c213826_g1_i1|m.3216,334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.006,-0.0138
lcl|c213837_g2_i3|m.3220,383,2,2,2,5,5,7,6,2,3,2,1,1,1,2,5,4,3,5,3,3,-0.253,-0.9901
lcl|c213850_g3_i2|m.3229,370,1,4,1,1,2,1,4,2,2,1,0,0,0,0,0,0,0,0,0,0,-0.655,-1.6324
lcl|c213850_g4_i1|m.3231,390,4,1,5,2,5,7,6,2,0,2,5,1,2,1,0,1,0,0,0,0,-0.864,-2.7722
lcl|c213886_g7_i2|m.3271,1350,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,-0.274,-0.6279
lcl|c213888_g2_i1|m.3274,225,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.015,0.0318
lcl|c213946_g11_i4|m.3301,543,1,0,2,0,1,1,1,3,1,5,3,1,0,2,2,1,1,0,1,2,-0.155,-0.4465
lcl|c214032_g1_i4|m.3331,161,31,19,50,34,48,21,26,30,10,38,32,23,21,27,21,22,10,12,6,10,-0.511,-5.4045
lcl|c214108_g4_i4|m.3369,159,9,9,13,8,11,8,15,17,6,13,6,5,5,5,4,3,5,3,8,4,-0.837,-5.0938
lcl|c214118_g1_i2|m.3372,151,3,11,22,18,10,11,15,17,9,17,16,11,0,13,6,12,13,5,13,6,-0.316,-2.3422
lcl|c214164_g1_i8|m.3381,700,0,0,0,0,1,1,1,1,2,0,0,0,0,2,1,1,1,0,1,0,0.003,0.0064
lcl|c214211_g3_i3|m.3396,158,1,1,2,3,2,3,2,2,0,1,4,5,5,4,1,4,4,3,2,3,0.702,2.2415
lcl|c214228_g4_i5|m.3407,833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006,0.0144
lcl|c214229_g1_i1|m.3410,367,0,0,1,1,4,4,2,0,0,3,1,0,1,1,2,2,0,0,1,0,-0.464,-1.2337
lcl|c214242_g1_i2|m.3413,293,2,0,2,5,3,1,1,6,2,1,3,14,2,5,5,8,5,5,5,7,0.921,3.8253
lcl|c214242_g1_i3|m.3415,187,1,0,1,1,2,0,0,3,1,0,0,5,0,1,2,4,3,0,3,2,0.595,1.5951
lcl|c214244_g2_i4|m.3420,514,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0.147,0.3212
lcl|c214261_g2_i4|m.3427,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.0071
lcl|c214330_g10_i3|m.3454,316,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0.104,0.2267
lcl|c214356_g7_i5|m.3463,498,2,2,1,1,1,2,2,2,1,1,2,0,1,0,0,0,0,2,1,2,-0.141,-0.3579
lcl|c214397_g6_i4|m.3476,257,4,4,4,4,3,1,3,6,3,5,1,1,1,1,2,2,0,2,2,1,-0.997,-3.2771
lcl|c214418_g2_i7|m.3489,275,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.004,0.0083
lcl|c214499_g2_i2|m.3512,173,0,0,1,0,3,1,1,1,0,0,2,2,1,0,0,1,1,0,0,1,-0.029,-0.0736
lcl|c214530_g4_i1|m.3518,242,3,1,2,3,4,0,2,8,0,5,1,0,0,0,3,2,1,0,1,0,-0.852,-2.4278
lcl|c214539_g3_i1|m.3522,509,3,1,0,1,2,1,1,1,0,2,0,0,2,0,1,0,0,1,0,0,-0.231,-0.5739
lcl|c214556_g2_i3|m.3526,228,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0.012,0.0249
lcl|c214559_g9_i1|m.3528,225,1,2,2,3,1,1,0,1,0,2,0,2,1,2,3,2,1,2,0,1,0.04,0.1159
lcl|c214573_g3_i1|m.3534,278,5,1,10,4,6,4,6,7,4,9,4,2,4,1,3,1,1,1,3,3,-0.898,-3.5437
lcl|c214584_g4_i1|m.3540,241,3,4,3,3,1,1,1,3,3,4,3,2,4,4,3,3,2,7,2,3,0.242,0.8966
lcl|c214602_g8_i1|m.3549,114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-0.01,-0.0214
lcl|c214652_g1_i3|m.3567,315,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.04,0.086
lcl|c214653_g2_i1|m.3571,359,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,0,0.056,0.1226
lcl|c214656_g8_i1|m.3574,143,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-0.003,-0.0071
lcl|c214667_g2_i8|m.3577,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-0.0507
lcl|c214691_g1_i1|m.3614,371,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,2,1,2,0,1,0.115,0.2584
lcl|c214737_g6_i1|m.3641,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.023,-0.048
lcl|c214766_g5_i2|m.3659,129,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,-0.003,-0.0075
lcl|c214775_g8_i5|m.3661,272,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,1,2,0.183,0.4447
lcl|c214827_g5_i1|m.3692,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.0062
lcl|c214832_g3_i2|m.3697,335,11,14,16,21,19,15,14,15,8,14,23,25,19,19,22,17,14,7,14,13,0.171,1.6048
lcl|c214891_g1_i1|m.3715,193,0,1,0,0,0,0,2,0,0,1,0,0,1,1,1,1,1,0,0,0,-0.106,-0.2314
lcl|c214915_g6_i2|m.3733,114,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,-0.01,-0.0218
lcl|c214925_g1_i1|m.3737,205,1,0,1,1,2,1,1,3,0,1,1,1,0,1,0,0,0,0,1,0,-0.282,-0.6791
lcl|c214975_g3_i2|m.3761,224,2,2,0,1,0,0,1,0,0,1,0,1,1,1,0,0,2,2,3,2,0.25,0.6584
lcl|c215093_g1_i2|m.3818,140,2,2,3,2,0,2,0,0,1,1,1,0,0,1,0,2,1,2,3,0,-0.142,-0.389
lcl|c215124_g2_i2|m.3835,338,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.116,-0.2676
lcl|c215183_g1_i1|m.3867,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0247
lcl|c215199_g2_i2|m.3880,298,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.007,0.0155
lcl|c215258_g3_i5|m.3905,197,0,0,0,1,0,0,0,0,0,0,0,2,3,2,1,0,2,1,1,1,0.455,1.083
lcl|c215279_g2_i6|m.3910,210,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,-0.092,-0.2088
lcl|c215282_g4_i10|m.3912,146,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-0.007,-0.0144
lcl|c215313_g3_i2|m.3930,518,0,0,0,0,1,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0.291,0.688
lcl|c215316_g1_i1|m.3942,437,12,5,6,5,11,7,5,10,5,4,9,17,13,10,15,7,15,6,9,9,0.458,2.926
lcl|c215384_g1_i4|m.3995,162,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.017,-0.0409
lcl|c215397_g1_i1|m.4004,143,3,0,0,2,2,0,2,4,1,3,1,0,1,0,3,0,1,0,1,0,-0.491,-1.2816
lcl|c215423_g1_i1|m.4014,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.0436
lcl|c215450_g1_i1|m.4033,1756,1,1,2,3,1,0,2,1,0,0,0,1,1,2,1,5,1,4,1,0,0.257,0.7063
lcl|c215455_g1_i1|m.4036,173,3,5,9,6,5,6,5,4,1,7,5,4,3,3,2,1,2,3,1,1,-0.744,-2.9515
lcl|c215456_g2_i2|m.4039,171,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009,0.0196
lcl|c215465_g1_i1|m.4044,322,28,34,30,25,31,33,35,31,21,28,25,19,19,22,21,17,17,21,25,19,-0.356,-3.9443
lcl|c215492_g2_i9|m.4058,328,64,46,67,66,78,62,57,58,33,62,76,77,50,68,66,76,48,52,48,42,0.012,0.1963
lcl|c215540_g1_i1|m.4079,129,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.094,-0.212
lcl|c215551_g6_i1|m.4083,138,2,0,1,1,0,0,1,1,0,0,0,1,1,2,0,0,1,1,0,2,0.106,0.2313
lcl|c215553_g1_i10|m.4084,162,0,0,2,0,2,0,1,1,0,2,1,2,1,1,1,1,1,2,1,0,-0.068,-0.1686
lcl|c215606_g3_i1|m.4107,123,3,3,1,2,4,2,3,2,0,2,1,2,2,0,1,1,0,1,2,1,-0.616,-1.6966
lcl|c215616_g6_i2|m.4120,315,12,9,16,6,15,7,11,9,6,18,12,10,11,23,15,16,7,11,9,5,0.088,0.6621
lcl|c215632_g4_i4|m.4127,584,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.008,0.0181
lcl|c215636_g1_i1|m.4133,232,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.012,0.0257
lcl|c215662_g1_i2|m.4137,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.05,-0.1079
lcl|c215665_g1_i1|m.4142,319,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0.024,0.053
lcl|c215676_g2_i1|m.4150,125,2,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,-0.198,-0.4673
lcl|c215720_g4_i1|m.4168,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.0795
lcl|c215761_g1_i1|m.4176,358,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,-0.007,-0.0169
lcl|c215762_g1_i1|m.4180,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0.0178
lcl|c215763_g2_i3|m.4184,532,3,2,5,5,6,3,4,5,1,6,0,4,2,3,1,3,2,0,2,1,-0.706,-2.6622
lcl|c215819_g3_i2|m.4218,242,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.028,0.06
lcl|c215848_g2_i7|m.4237,145,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-0.101,-0.2333
lcl|c215894_g1_i3|m.4266,158,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.01,-0.0212
lcl|c215924_g3_i1|m.4285,145,5,4,1,8,5,0,5,2,1,4,0,0,0,0,0,0,0,0,0,0,-1.326,-3.5595
lcl|c215928_g3_i1|m.4293,221,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011,-0.0231
lcl|c215933_g1_i1|m.4300,361,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0.088,0.2082
lcl|c215957_g2_i1|m.4319,280,10,12,14,9,11,8,8,13,10,13,8,9,11,7,6,10,2,7,8,10,-0.326,-2.1103
lcl|c215957_g2_i7|m.4321,345,11,8,9,6,4,4,3,9,5,7,6,7,9,11,2,6,2,3,7,9,-0.067,-0.3773
lcl|c215963_g8_i2|m.4326,221,12,8,8,10,15,8,12,13,4,15,6,11,13,14,17,7,11,4,10,3,-0.089,-0.6419
lcl|c215996_g2_i2|m.4340,263,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.025,-0.054
lcl|c216038_g5_i1|m.4365,301,2,0,5,3,4,2,5,0,2,3,2,2,1,0,3,0,1,1,2,0,-0.625,-1.9994
lcl|c216057_g3_i1|m.4371,439,10,6,8,7,8,12,5,8,3,11,7,5,4,8,7,6,5,6,5,3,-0.319,-1.8698
lcl|c216124_g1_i2|m.4405,114,10,18,20,14,13,12,11,14,13,15,13,13,10,11,9,13,12,18,13,11,-0.132,-1.0819
lcl|c216129_g1_i2|m.4409,163,2,3,2,2,2,2,2,4,2,4,1,4,2,5,2,2,2,0,0,0,-0.186,-0.6098
lcl|c216163_g1_i3|m.4416,494,0,1,2,1,1,2,1,1,1,3,2,0,1,0,0,0,0,0,0,1,-0.232,-0.5783
lcl|c216188_g2_i2|m.4423,126,2,0,2,0,1,1,2,0,1,2,1,1,1,0,1,0,1,0,0,0,-0.351,-0.8493
lcl|c216194_g2_i1|m.4425,398,5,2,3,2,5,6,3,3,1,1,3,2,0,4,3,1,0,1,3,1,-0.442,-1.6252
lcl|c216201_g2_i1|m.4428,114,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,2,1,0.13,0.2982
lcl|c216243_g3_i1|m.4453,454,2,0,0,0,1,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,-0.286,-0.7027
lcl|c216289_g7_i1|m.4487,250,2,2,4,3,4,2,1,5,0,3,2,3,1,3,1,3,1,0,1,1,-0.466,-1.5215
lcl|c216306_g1_i11|m.4517,105,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.019,0.0429
lcl|c216377_g1_i3|m.4559,370,6,3,6,3,3,2,1,3,1,3,0,0,0,0,0,0,0,0,0,1,-1.163,-3.0675
lcl|c216404_g2_i10|m.4571,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.0057
lcl|c216448_g1_i1|m.4592,246,0,4,1,3,3,1,3,3,3,2,2,1,3,2,1,2,1,1,4,3,-0.204,-0.6873
lcl|c216467_g10_i1|m.4595,168,10,0,1,0,1,6,14,6,0,0,2,2,5,0,0,0,1,0,7,0,-0.65,-2.4595
lcl|c216467_g8_i1|m.4596,129,0,1,0,1,0,0,0,2,1,3,0,0,0,4,0,2,2,2,0,2,0.255,0.6796
lcl|c216467_g8_i2|m.4597,196,3,1,0,1,0,1,3,1,1,1,0,0,3,1,0,1,2,1,3,0,0.089,0.2319
lcl|c216500_g6_i5|m.4616,239,0,0,0,1,2,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0.015,0.0317
lcl|c216527_g1_i2|m.4625,544,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.003,-0.0066
lcl|c216539_g3_i3|m.4633,184,0,1,0,1,1,0,0,0,0,0,0,2,0,3,1,2,0,2,0,0,0.415,1.0095
lcl|c216567_g2_i2|m.4643,438,1,1,3,3,1,3,1,2,0,1,0,0,0,1,2,1,1,0,0,0,-0.417,-1.0901
lcl|c216621_g3_i1|m.4676,189,74,63,38,72,71,60,54,55,61,50,24,19,27,19,31,22,20,13,25,33,-0.941,-11.8948
lcl|c216645_g1_i1|m.4691,348,3,4,0,1,1,1,0,1,1,4,0,1,0,0,0,0,0,0,0,0,-0.592,-1.5663
lcl|c216650_g2_i1|m.4697,668,6,2,3,4,3,3,1,2,1,2,7,5,5,4,2,4,2,4,4,4,0.432,1.7665
lcl|c216655_g1_i1|m.4705,553,22,15,20,22,26,14,17,24,14,27,17,12,13,18,17,11,15,10,18,13,-0.342,-3.2658
lcl|c216702_g5_i1|m.4730,206,3,1,2,0,2,0,3,2,0,1,0,1,1,0,1,0,0,0,0,0,-0.592,-1.411
lcl|c216705_g1_i4|m.4732,513,1,2,1,0,0,3,2,0,2,0,0,1,0,0,0,1,1,0,0,0,-0.453,-1.1477
lcl|c216784_g1_i1|m.4762,166,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.011,0.0221
lcl|c216818_g1_i2|m.4792,499,2,1,0,1,1,1,0,1,0,1,1,0,2,1,1,0,0,0,1,1,0.013,0.0302
lcl|c216824_g6_i1|m.4796,413,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,-0.018,-0.0431
lcl|c216848_g3_i4|m.4809,337,8,3,4,5,7,6,2,8,4,9,4,2,5,6,4,3,1,1,2,3,-0.6,-2.6256
lcl|c216861_g2_i3|m.4815,379,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,0.0563
lcl|c216872_g3_i2|m.4822,168,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-0.012,-0.0242
lcl|c216942_g4_i3|m.4860,274,10,8,10,5,10,5,9,12,3,5,4,4,6,1,1,3,2,1,5,2,-0.997,-4.5129
lcl|c216953_g1_i3|m.4865,235,1,1,1,2,2,1,1,1,0,1,2,1,0,0,2,0,0,0,0,0,-0.01,-0.0214
lcl|c216995_g9_i1|m.4890,143,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,-0.008,-0.0181
lcl|c217005_g3_i1|m.4893,516,1,2,0,0,3,3,0,4,0,1,4,5,1,5,1,3,4,1,7,3,0.653,2.1877
lcl|c217013_g4_i3|m.4901,557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,0.0075
lcl|c217046_g2_i2|m.4921,339,1,0,1,2,2,0,1,2,0,2,1,0,0,0,0,1,0,0,0,0,-0.334,-0.856
lcl|c217096_g5_i1|m.4965,114,2,2,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-0.19,-0.4286
lcl|c217098_g2_i2|m.4966,169,0,1,3,2,2,1,0,1,1,2,1,0,0,1,1,0,0,0,0,0,-0.422,-0.9675
lcl|c217146_g1_i1|m.4997,510,0,1,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,-0.094,-0.1936
lcl|c217182_g4_i2|m.5020,118,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.06,-0.1314
lcl|c217182_g4_i3|m.5021,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034,-0.0687
lcl|c217195_g5_i2|m.5022,138,10,12,15,20,25,16,24,21,10,26,11,16,10,32,20,13,10,11,16,13,-0.166,-1.4902
lcl|c217199_g3_i2|m.5026,225,1,2,2,2,0,4,1,2,0,3,3,2,4,0,1,4,1,2,0,1,0.052,0.151
lcl|c217202_g3_i1|m.5028,315,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0.024,0.0529
lcl|c217263_g3_i1|m.5056,281,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.031,0.0708
lcl|c217312_g3_i1|m.5102,175,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.011,0.0233
lcl|c217326_g3_i1|m.5105,483,1,1,1,1,0,1,0,0,0,1,0,1,1,2,1,1,0,0,0,1,0.079,0.1686
lcl|c217341_g1_i2|m.5116,153,2,4,3,3,4,4,3,3,0,3,2,5,3,4,6,3,3,3,2,3,0.135,0.5099
lcl|c217360_g1_i1|m.5146,173,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,-0.117,-0.2717
lcl|c217381_g1_i2|m.5165,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007,0.0133
lcl|c217427_g4_i1|m.5185,235,3,6,5,4,2,3,3,7,1,2,3,3,3,1,1,3,1,3,2,3,-0.454,-1.7097
lcl|c217447_g9_i5|m.5205,1674,52,33,44,39,50,42,49,36,23,32,42,38,38,45,37,30,33,19,37,30,-0.133,-1.8548
lcl|c217466_g1_i3|m.5215,389,81,49,72,76,89,73,19,72,33,88,63,58,47,64,48,35,35,38,21,20,-0.417,-6.3441
lcl|c217500_g3_i1|m.5226,284,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-0.0458
lcl|c217534_g1_i2|m.5231,210,3,4,0,3,3,5,4,5,2,5,2,2,2,3,2,2,1,1,3,1,-0.648,-2.37
lcl|c217573_g1_i1|m.5252,230,7,6,10,4,7,6,6,6,4,8,4,2,3,1,2,2,3,1,2,4,-0.998,-4.0381
lcl|c217576_g1_i1|m.5259,572,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.035,-0.0795
lcl|c217585_g1_i2|m.5268,241,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,0,0,0,0.203,0.4544
lcl|c217591_g3_i7|m.5275,177,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,-0.008,-0.0183
lcl|c217621_g3_i1|m.5289,392,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.03,0.0683
lcl|c217621_g5_i1|m.5291,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045,0.0959
lcl|c217626_g1_i4|m.5292,302,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,0.025,0.0527
lcl|c217645_g1_i1|m.5302,248,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,-0.0089
lcl|c217654_g5_i4|m.5303,143,8,4,4,7,6,7,6,7,2,8,4,3,4,4,4,1,5,3,4,3,-0.508,-2.2589
lcl|c217655_g1_i10|m.5304,196,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-0.032,-0.0698
lcl|c217670_g3_i2|m.5308,236,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.011,0.0241
lcl|c217684_g1_i2|m.5317,187,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.014,0.031
lcl|c217701_g4_i1|m.5329,333,1,0,0,0,0,0,1,1,0,3,1,0,2,0,0,0,1,0,0,0,-0.099,-0.2393
lcl|c217724_g1_i1|m.5344,242,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.006,0.0133
lcl|c217737_g4_i4|m.5348,224,0,3,3,2,1,1,4,4,1,3,1,0,0,1,0,2,0,0,2,2,-0.589,-1.668
lcl|c217776_g2_i5|m.5358,259,0,0,1,1,0,0,1,0,1,2,2,0,2,2,0,0,1,0,0,0,0.209,0.4795
lcl|c217777_g4_i6|m.5361,307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.0048
lcl|c217788_g4_i2|m.5364,290,2,4,6,3,2,2,5,3,1,2,8,1,3,1,3,0,3,1,7,2,-0.007,-0.0257
lcl|c217792_g3_i1|m.5367,165,4,1,1,1,1,0,0,0,1,2,1,0,1,0,0,0,1,1,1,1,-0.362,-0.8533
lcl|c217792_g3_i5|m.5368,125,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0.0043
lcl|c217808_g1_i5|m.5370,223,56,52,59,56,59,52,47,57,44,54,42,29,36,39,34,35,45,32,32,31,-0.409,-5.8386
lcl|c217816_g7_i5|m.5372,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0.0456
lcl|c217853_g6_i3|m.5408,319,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,2,0,1,0.088,0.2
lcl|c217854_g5_i1|m.5413,250,3,1,3,0,2,0,2,1,2,0,0,0,0,0,0,0,0,1,0,1,-0.555,-1.3855
lcl|c217887_g8_i2|m.5422,214,2,1,2,1,1,1,3,2,1,0,0,0,0,0,0,0,1,0,2,0,-0.329,-0.791
lcl|c217972_g1_i6|m.5456,109,0,1,2,3,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,-0.533,-1.3206
lcl|c217988_g6_i3|m.5463,346,11,9,7,9,8,11,10,9,2,10,7,1,13,5,4,3,8,3,9,3,-0.417,-2.4408
lcl|c218016_g3_i3|m.5485,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0651
lcl|c218032_g1_i1|m.5496,550,2,2,0,1,2,1,0,2,1,1,2,4,4,2,1,1,3,3,2,1,0.518,1.4575
lcl|c218119_g1_i3|m.5570,280,1,1,3,1,2,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,-0.359,-0.875
lcl|c218123_g3_i2|m.5572,229,4,5,5,7,4,2,4,7,3,6,6,6,7,7,2,5,4,1,3,5,-0.031,-0.1439
lcl|c218175_g5_i2|m.5596,147,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,0.0314
lcl|c218185_g1_i2|m.5605,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-0.0101
lcl|c218185_g1_i3|m.5606,286,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,-0.024,-0.0576
lcl|c218196_g3_i9|m.5616,396,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.133,-0.3074
lcl|c218214_g1_i2|m.5634,619,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.044,0.0927
lcl|c218223_g3_i1|m.5642,343,0,1,0,1,0,1,0,1,0,0,4,6,1,3,1,3,4,3,2,1,1.064,2.9054
lcl|c218302_g5_i1|m.5709,298,5,16,11,11,8,12,14,7,9,8,6,3,2,1,3,0,1,0,2,1,-1.624,-6.2031
lcl|c218345_g3_i2|m.5731,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.056,-0.1206
lcl|c218374_g1_i3|m.5753,544,4,4,2,3,4,1,4,3,5,4,3,2,3,1,2,1,2,1,1,1,-0.717,-2.3244
lcl|c218374_g4_i1|m.5754,223,11,9,9,8,10,8,7,11,9,8,5,4,4,5,7,5,4,3,4,5,-0.676,-3.7618
lcl|c218375_g1_i1|m.5756,193,8,5,10,6,7,9,11,5,5,8,10,9,7,8,7,8,4,3,4,7,-0.1,-0.6371
lcl|c218388_g2_i3|m.5763,428,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,2,1,-0.02,-0.0468
lcl|c218413_g4_i1|m.5770,116,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.019,-0.0432
lcl|c218445_g1_i1|m.5788,973,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,-0.03,-0.0652
lcl|c218449_g2_i1|m.5791,244,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,-0.0269
lcl|c218481_g4_i6|m.5811,142,6,4,5,5,4,6,6,2,5,4,5,1,2,3,3,2,2,1,3,1,-0.733,-2.9035
lcl|c218494_g2_i5|m.5814,274,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0.053,0.1225
lcl|c218495_g1_i2|m.5815,121,7,6,1,5,5,3,2,3,3,5,2,2,4,5,5,2,3,4,1,2,-0.263,-1.0663
lcl|c218576_g4_i1|m.5836,181,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.018,-0.0411
