"","Row.names","X2018_MARCH_12_CORAL_JAA_01_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_03_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_04_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_05_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_06_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_07_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_08_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_09_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_10_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_11_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_12_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_13_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_14_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_15_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_16_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_17_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_19_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_20_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_21_NUMSPECSTOT","X2018_MARCH_12_CORAL_JAA_22_NUMSPECSTOT","PROTLEN"
"200","lcl|c213837_g2_i3|m.3220",5,6,2,2,2,5,7,4,8,4,5,7,6,6,2,7,1,2,3,2,383
"201","lcl|c213850_g3_i2|m.3229",3,1,1,4,1,1,4,1,1,3,2,1,4,6,1,2,3,2,2,1,370
"202","lcl|c213850_g4_i1|m.3231",4,2,4,1,5,2,6,3,8,1,5,7,6,5,5,1,2,2,0,2,390
"203","lcl|c213886_g7_i2|m.3271",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1350
"204","lcl|c213888_g2_i1|m.3274",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,225
"205","lcl|c213946_g11_i4|m.3301",1,1,1,0,2,0,3,0,2,0,1,1,1,2,4,2,0,3,1,5,543
"206","lcl|c214032_g1_i4|m.3331",47,53,31,19,50,34,58,35,33,10,48,21,26,47,41,41,25,30,10,38,161
"207","lcl|c214108_g4_i4|m.3369",3,11,9,9,13,8,11,12,15,6,11,8,15,19,11,11,10,17,6,13,159
"208","lcl|c214118_g1_i2|m.3372",14,17,3,11,22,18,11,14,15,14,10,11,15,27,17,2,13,17,9,17,151
"209","lcl|c214164_g1_i8|m.3381",2,3,0,0,0,0,3,0,3,1,1,1,1,0,1,0,2,1,2,0,700
"210","lcl|c214211_g3_i3|m.3396",0,2,1,1,2,3,1,2,1,2,2,3,2,0,2,1,3,2,0,1,158
"211","lcl|c214228_g4_i5|m.3407",1,0,0,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,0,0,833
"212","lcl|c214229_g1_i1|m.3410",0,0,0,0,1,1,0,0,0,0,4,4,2,0,0,0,0,0,0,3,367
"213","lcl|c214242_g1_i2|m.3413",8,3,2,0,2,5,4,3,2,9,3,1,1,2,3,4,5,6,2,1,293
"214","lcl|c214242_g1_i3|m.3415",4,1,1,0,1,1,2,1,0,4,2,0,0,1,1,0,1,3,1,0,187
"215","lcl|c214244_g2_i4|m.3420",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,514
"216","lcl|c214261_g2_i4|m.3427",0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,253
"217","lcl|c214330_g10_i3|m.3454",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316
"218","lcl|c214356_g7_i5|m.3463",2,1,2,2,1,1,2,2,2,3,1,2,2,1,1,5,4,2,1,1,498
"219","lcl|c214397_g6_i4|m.3476",10,9,4,4,4,4,7,4,3,2,3,1,3,8,9,9,6,6,3,5,257
"220","lcl|c214418_g2_i7|m.3489",0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,275
"221","lcl|c214499_g2_i2|m.3512",1,1,0,0,1,0,1,1,2,1,3,1,1,0,1,1,1,1,0,0,173
"222","lcl|c214530_g4_i1|m.3518",10,7,3,1,2,3,4,6,2,1,4,0,2,5,6,2,3,8,0,5,242
"223","lcl|c214539_g3_i1|m.3522",0,1,3,1,0,1,3,1,3,2,2,1,1,0,0,1,1,1,0,2,509
"224","lcl|c214556_g2_i3|m.3526",0,1,1,0,1,1,1,3,1,0,1,0,1,1,2,1,1,0,0,1,228
"225","lcl|c214559_g9_i1|m.3528",5,4,1,2,2,3,2,1,1,1,1,1,0,0,0,2,2,1,0,2,225
"226","lcl|c214573_g3_i1|m.3534",14,5,5,1,10,4,8,5,5,2,6,4,6,10,5,6,5,7,4,9,278
"227","lcl|c214584_g4_i1|m.3540",4,4,3,4,3,3,1,3,4,3,1,1,1,6,5,3,3,3,3,4,241
"228","lcl|c214602_g8_i1|m.3549",0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,114
"229","lcl|c214652_g1_i3|m.3567",2,0,1,0,0,0,0,1,1,0,0,0,0,1,1,4,1,0,0,1,315
"230","lcl|c214653_g2_i1|m.3571",1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,359
"231","lcl|c214656_g8_i1|m.3574",0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,143
"232","lcl|c214667_g2_i8|m.3577",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,491
"233","lcl|c214691_g1_i1|m.3614",2,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,371
"234","lcl|c214737_g6_i1|m.3641",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,332
"235","lcl|c214766_g5_i2|m.3659",0,0,1,0,0,0,0,0,0,1,1,0,1,3,1,1,0,0,1,1,129
"236","lcl|c214775_g8_i5|m.3661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272
"237","lcl|c214827_g5_i1|m.3692",1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,229
"238","lcl|c214832_g3_i2|m.3697",18,24,11,14,16,21,24,13,11,13,19,15,14,25,22,14,13,15,8,14,335
"239","lcl|c214891_g1_i1|m.3715",1,1,0,1,0,0,1,0,1,2,0,0,2,0,0,1,1,0,0,1,193
"240","lcl|c214915_g6_i2|m.3733",1,3,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,114
"241","lcl|c214925_g1_i1|m.3737",0,1,1,0,1,1,2,2,1,0,2,1,1,2,2,2,1,3,0,1,205
"242","lcl|c214975_g3_i2|m.3761",1,0,2,2,0,1,0,2,2,2,0,0,1,0,1,2,1,0,0,1,224
"243","lcl|c215093_g1_i2|m.3818",5,4,2,2,3,2,0,5,2,2,0,2,0,5,1,7,2,0,1,1,140
"244","lcl|c215124_g2_i2|m.3835",0,0,1,0,0,0,0,2,0,0,0,2,1,0,0,1,1,0,0,0,338
"245","lcl|c215183_g1_i1|m.3867",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,153
"246","lcl|c215199_g2_i2|m.3880",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,298
"247","lcl|c215258_g3_i5|m.3905",0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,197
"248","lcl|c215279_g2_i6|m.3910",3,2,2,0,0,0,0,0,1,0,0,0,0,3,2,0,1,0,0,0,210
"249","lcl|c215282_g4_i10|m.3912",0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,146
"250","lcl|c215313_g3_i2|m.3930",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,518
"251","lcl|c215316_g1_i1|m.3942",11,10,12,5,6,5,15,14,10,4,11,7,5,9,9,9,9,10,5,4,437
"252","lcl|c215384_g1_i4|m.3995",0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,162
"253","lcl|c215397_g1_i1|m.4004",4,3,3,0,0,2,3,1,2,0,2,0,2,1,2,3,2,4,1,3,143
"254","lcl|c215423_g1_i1|m.4014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380
"255","lcl|c215450_g1_i1|m.4033",0,1,1,1,2,3,3,0,2,2,1,0,2,2,0,1,1,1,0,0,1756
"256","lcl|c215455_g1_i1|m.4036",12,4,3,5,9,6,7,7,4,2,5,6,5,13,2,2,3,4,1,7,173
"257","lcl|c215456_g2_i2|m.4039",1,0,0,0,0,0,0,2,1,0,1,1,1,0,1,2,0,0,0,0,171
"258","lcl|c215465_g1_i1|m.4044",26,29,28,34,30,25,33,36,30,29,31,33,35,36,27,36,35,31,21,28,322
"259","lcl|c215492_g2_i9|m.4058",74,83,64,46,67,66,83,74,59,58,78,62,57,127,53,60,54,58,33,62,328
"260","lcl|c215540_g1_i1|m.4079",0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,129
"261","lcl|c215551_g6_i1|m.4083",3,2,2,0,1,1,2,2,1,2,0,0,1,2,2,2,2,1,0,0,138
"262","lcl|c215553_g1_i10|m.4084",0,1,0,0,2,0,3,1,0,2,2,0,1,1,1,2,1,1,0,2,162
"263","lcl|c215606_g3_i1|m.4107",2,3,3,3,1,2,7,2,3,3,4,2,3,3,2,3,4,2,0,2,123
"264","lcl|c215616_g6_i2|m.4120",3,11,12,9,16,6,15,5,13,8,15,7,11,39,14,10,11,9,6,18,315
"265","lcl|c215632_g4_i4|m.4127",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,584
"266","lcl|c215636_g1_i1|m.4133",0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,232
"267","lcl|c215662_g1_i2|m.4137",1,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,304
"268","lcl|c215665_g1_i1|m.4142",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
"269","lcl|c215676_g2_i1|m.4150",0,1,2,0,1,0,0,1,0,0,0,0,0,1,0,1,2,1,0,2,125
"270","lcl|c215720_g4_i1|m.4168",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,328
"271","lcl|c215761_g1_i1|m.4176",1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,358
"272","lcl|c215762_g1_i1|m.4180",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,267
"273","lcl|c215763_g2_i3|m.4184",16,7,3,2,5,5,6,7,5,3,6,3,4,6,5,7,8,5,1,6,532
"274","lcl|c215819_g3_i2|m.4218",0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,242
"275","lcl|c215848_g2_i7|m.4237",1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2,0,145
"276","lcl|c215894_g1_i3|m.4266",2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,158
"277","lcl|c215924_g3_i1|m.4285",0,7,5,4,1,8,6,0,0,0,5,0,5,1,0,1,7,2,1,4,145
"278","lcl|c215928_g3_i1|m.4293",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,221
"279","lcl|c215933_g1_i1|m.4300",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,361
"280","lcl|c215957_g2_i1|m.4319",5,10,10,12,14,9,12,10,8,7,11,8,8,13,16,15,7,13,10,13,280
"281","lcl|c215957_g2_i7|m.4321",4,8,11,8,9,6,7,8,8,15,4,4,3,9,6,8,7,9,5,7,345
"282","lcl|c215963_g8_i2|m.4326",6,14,12,8,8,10,16,12,12,8,15,8,12,22,22,8,6,13,4,15,221
"283","lcl|c215996_g2_i2|m.4340",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,263
"284","lcl|c216038_g5_i1|m.4365",6,2,2,0,5,3,5,4,1,0,4,2,5,7,4,5,3,0,2,3,301
"285","lcl|c216057_g3_i1|m.4371",8,7,10,6,8,7,7,11,12,8,8,12,5,7,16,10,4,8,3,11,439
"286","lcl|c216124_g1_i2|m.4405",21,21,10,18,20,14,14,11,9,10,13,12,11,26,15,10,13,14,13,15,114
"287","lcl|c216129_g1_i2|m.4409",5,10,2,3,2,2,9,5,5,1,2,2,2,2,4,3,3,4,2,4,163
"288","lcl|c216163_g1_i3|m.4416",2,0,0,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,3,494
"289","lcl|c216188_g2_i2|m.4423",1,1,2,0,2,0,3,3,0,0,1,1,2,0,2,2,2,0,1,2,126
"290","lcl|c216194_g2_i1|m.4425",4,4,5,2,3,2,4,5,5,4,5,6,3,3,6,3,4,3,1,1,398
"291","lcl|c216201_g2_i1|m.4428",2,4,0,1,1,1,0,1,1,0,0,1,0,0,2,2,1,0,0,0,114
"292","lcl|c216243_g3_i1|m.4453",0,1,2,0,0,0,0,2,0,1,1,2,2,0,0,2,1,1,1,0,454
"293","lcl|c216289_g7_i1|m.4487",0,6,2,2,4,3,4,3,3,1,4,2,1,2,5,5,3,5,0,3,250
"294","lcl|c216306_g1_i11|m.4517",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,105
"295","lcl|c216377_g1_i3|m.4559",1,3,6,3,6,3,2,4,4,0,3,2,1,9,2,3,1,3,1,3,370
"296","lcl|c216404_g2_i10|m.4571",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,204
"297","lcl|c216448_g1_i1|m.4592",4,2,0,4,1,3,4,4,3,6,3,1,3,7,4,2,5,3,3,2,246
"298","lcl|c216467_g10_i1|m.4595",6,0,10,0,1,0,0,6,9,0,1,6,14,3,0,6,0,6,0,0,168
"299","lcl|c216467_g8_i1|m.4596",1,3,0,1,0,1,0,3,0,3,0,0,0,1,2,0,3,2,1,3,129
"300","lcl|c216467_g8_i2|m.4597",1,1,3,1,0,1,0,2,6,1,0,1,3,1,1,3,1,1,1,1,196
"301","lcl|c216500_g6_i5|m.4616",1,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,1,0,1,239
"302","lcl|c216527_g1_i2|m.4625",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,544
"303","lcl|c216539_g3_i3|m.4633",0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,184
"304","lcl|c216567_g2_i2|m.4643",5,2,1,1,3,3,3,4,1,1,1,3,1,2,2,2,1,2,0,1,438
"305","lcl|c216621_g3_i1|m.4676",25,59,74,63,38,72,83,69,49,44,71,60,54,45,44,72,71,55,61,50,189
"306","lcl|c216645_g1_i1|m.4691",4,2,3,4,0,1,0,0,0,3,1,1,0,3,1,0,1,1,1,4,348
"307","lcl|c216650_g2_i1|m.4697",2,2,6,2,3,4,5,8,5,5,3,3,1,1,2,4,4,2,1,2,668
"308","lcl|c216655_g1_i1|m.4705",21,30,22,15,20,22,23,16,16,14,26,14,17,24,21,17,17,24,14,27,553
"309","lcl|c216702_g5_i1|m.4730",3,1,3,1,2,0,2,5,4,1,2,0,3,4,2,4,4,2,0,1,206
"310","lcl|c216705_g1_i4|m.4732",0,1,1,2,1,0,1,3,1,1,0,3,2,0,0,2,1,0,2,0,513
"311","lcl|c216784_g1_i1|m.4762",0,2,1,0,0,1,7,0,1,1,0,0,1,13,4,2,4,0,1,0,166
"312","lcl|c216818_g1_i2|m.4792",1,0,2,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,499
"313","lcl|c216824_g6_i1|m.4796",0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,413
"314","lcl|c216848_g3_i4|m.4809",4,11,8,3,4,5,9,6,3,2,7,6,2,2,14,9,7,8,4,9,337
"315","lcl|c216861_g2_i3|m.4815",0,0,0,0,1,0,0,1,2,0,0,0,0,1,1,1,0,0,0,0,379
"316","lcl|c216872_g3_i2|m.4822",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,168
"317","lcl|c216942_g4_i3|m.4860",12,14,10,8,10,5,8,13,10,3,10,5,9,9,8,8,9,12,3,5,274
"318","lcl|c216953_g1_i3|m.4865",3,2,1,1,1,2,3,4,1,0,2,1,1,1,2,2,1,1,0,1,235
"319","lcl|c216995_g9_i1|m.4890",0,1,0,0,0,0,1,1,0,1,1,0,0,2,1,1,0,1,0,1,143
"320","lcl|c217005_g3_i1|m.4893",0,1,1,2,0,0,1,1,1,0,3,3,0,3,1,0,0,4,0,1,516
"321","lcl|c217013_g4_i3|m.4901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,557
"322","lcl|c217046_g2_i2|m.4921",1,1,1,0,1,2,1,2,2,3,2,0,1,0,1,2,0,2,0,2,339
"323","lcl|c217096_g5_i1|m.4965",2,1,2,2,1,1,1,1,1,0,1,1,1,2,1,1,0,0,1,1,114
"324","lcl|c217098_g2_i2|m.4966",0,3,0,1,3,2,2,2,0,0,2,1,0,3,1,0,2,1,1,2,169
"325","lcl|c217146_g1_i1|m.4997",0,1,0,1,0,0,0,0,0,2,1,0,0,1,2,0,1,0,2,0,510
"326","lcl|c217182_g4_i2|m.5020",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,118
"327","lcl|c217182_g4_i3|m.5021",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,215
"328","lcl|c217195_g5_i2|m.5022",3,20,10,12,15,20,23,19,26,15,25,16,24,7,28,9,18,21,10,26,138
"329","lcl|c217199_g3_i2|m.5026",4,5,1,2,2,2,1,1,2,1,0,4,1,4,2,2,1,2,0,3,225
"330","lcl|c217202_g3_i1|m.5028",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,315
"331","lcl|c217263_g3_i1|m.5056",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,281
"332","lcl|c217312_g3_i1|m.5102",0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,175
"333","lcl|c217326_g3_i1|m.5105",1,0,1,1,1,1,1,0,2,1,0,1,0,0,0,0,0,0,0,1,483
"334","lcl|c217341_g1_i2|m.5116",2,6,2,4,3,3,4,5,4,4,4,4,3,7,3,3,2,3,0,3,153
"335","lcl|c217360_g1_i1|m.5146",0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,2,0,2,0,173
"336","lcl|c217381_g1_i2|m.5165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439
"337","lcl|c217427_g4_i1|m.5185",0,2,3,6,5,4,6,4,5,5,2,3,3,3,4,4,6,7,1,2,235
"338","lcl|c217447_g9_i5|m.5205",44,56,52,33,44,39,65,59,60,49,50,42,49,35,50,72,63,36,23,32,1674
"339","lcl|c217466_g1_i3|m.5215",34,99,81,49,72,76,134,85,49,32,89,73,19,17,104,91,67,72,33,88,389
"340","lcl|c217500_g3_i1|m.5226",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,284
"341","lcl|c217534_g1_i2|m.5231",2,3,3,4,0,3,2,3,3,4,3,5,4,1,1,2,3,5,2,5,210
"342","lcl|c217573_g1_i1|m.5252",10,13,7,6,10,4,11,9,8,8,7,6,6,22,5,12,7,6,4,8,230
"343","lcl|c217576_g1_i1|m.5259",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,572
"344","lcl|c217585_g1_i2|m.5268",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,241
"345","lcl|c217591_g3_i7|m.5275",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,177
"346","lcl|c217621_g3_i1|m.5289",2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,392
"347","lcl|c217621_g5_i1|m.5291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200
"348","lcl|c217626_g1_i4|m.5292",0,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,302
"349","lcl|c217645_g1_i1|m.5302",1,2,1,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,0,0,248
"350","lcl|c217654_g5_i4|m.5303",7,6,8,4,4,7,5,7,6,6,6,7,6,3,5,6,4,7,2,8,143
"351","lcl|c217655_g1_i10|m.5304",0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,0,0,0,0,196
"352","lcl|c217670_g3_i2|m.5308",1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,2,0,0,0,236
"353","lcl|c217684_g1_i2|m.5317",1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,187
"354","lcl|c217701_g4_i1|m.5329",2,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,3,333
"355","lcl|c217724_g1_i1|m.5344",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
"356","lcl|c217737_g4_i4|m.5348",2,4,0,3,3,2,1,1,4,1,1,1,4,8,3,0,4,4,1,3,224
"357","lcl|c217776_g2_i5|m.5358",1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,2,259
"358","lcl|c217777_g4_i6|m.5361",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,307
"359","lcl|c217788_g4_i2|m.5364",2,3,2,4,6,3,4,4,4,4,2,2,5,4,3,1,5,3,1,2,290
"360","lcl|c217792_g3_i1|m.5367",2,1,4,1,1,1,1,2,1,2,1,0,0,2,1,2,2,0,1,2,165
"361","lcl|c217792_g3_i5|m.5368",1,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,1,1,0,0,125
"362","lcl|c217808_g1_i5|m.5370",46,54,56,52,59,56,60,65,53,51,59,52,47,68,58,61,59,57,44,54,223
"363","lcl|c217816_g7_i5|m.5372",2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,356
"364","lcl|c217853_g6_i3|m.5408",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,319
"365","lcl|c217854_g5_i1|m.5413",0,1,3,1,3,0,0,2,0,0,2,0,2,1,1,5,3,1,2,0,250
"366","lcl|c217887_g8_i2|m.5422",2,2,2,1,2,1,1,1,1,1,1,1,3,2,1,2,1,2,1,0,214
"367","lcl|c217972_g1_i6|m.5456",3,6,0,1,2,3,0,1,1,1,0,0,0,0,4,0,4,3,0,3,109
"368","lcl|c217988_g6_i3|m.5463",5,12,11,9,7,9,13,19,15,9,8,11,10,18,13,20,11,9,2,10,346
"369","lcl|c218016_g3_i3|m.5485",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,300
"370","lcl|c218032_g1_i1|m.5496",0,2,2,2,0,1,5,3,2,1,2,1,0,0,0,2,1,2,1,1,550
"371","lcl|c218119_g1_i3|m.5570",0,1,1,1,3,1,2,1,1,0,2,0,1,2,1,1,1,0,1,2,280
"372","lcl|c218123_g3_i2|m.5572",6,6,4,5,5,7,4,4,4,5,4,2,4,4,5,4,4,7,3,6,229
"373","lcl|c218175_g5_i2|m.5596",2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,2,0,0,0,0,147
"374","lcl|c218185_g1_i2|m.5605",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,290
"375","lcl|c218185_g1_i3|m.5606",3,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,1,0,1,286
"376","lcl|c218196_g3_i9|m.5616",1,0,2,0,0,0,2,1,2,2,1,0,0,1,0,1,1,0,0,1,396
"377","lcl|c218214_g1_i2|m.5634",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,619
"378","lcl|c218223_g3_i1|m.5642",0,1,0,1,0,1,1,0,0,2,0,1,0,0,2,0,0,1,0,0,343
"379","lcl|c218302_g5_i1|m.5709",20,9,5,16,11,11,6,9,7,4,8,12,14,10,7,9,13,7,9,8,298
"380","lcl|c218345_g3_i2|m.5731",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156
"381","lcl|c218374_g1_i3|m.5753",6,3,4,4,2,3,6,7,6,5,4,1,4,3,1,10,4,3,5,4,544
"382","lcl|c218374_g4_i1|m.5754",12,8,11,9,9,8,15,15,8,8,10,8,7,10,10,9,11,11,9,8,223
"383","lcl|c218375_g1_i1|m.5756",8,12,8,5,10,6,10,14,13,8,7,9,11,7,9,14,9,5,5,8,193
"384","lcl|c218388_g2_i3|m.5763",0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,1,1,0,0,0,428
"385","lcl|c218413_g4_i1|m.5770",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,116
"386","lcl|c218445_g1_i1|m.5788",0,1,1,0,0,1,0,0,0,2,1,0,0,0,1,1,2,0,0,0,973
"387","lcl|c218449_g2_i1|m.5791",0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,244
"388","lcl|c218481_g4_i6|m.5811",7,8,6,4,5,5,9,7,7,4,4,6,6,7,8,6,6,2,5,4,142
"389","lcl|c218494_g2_i5|m.5814",1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,274
"390","lcl|c218495_g1_i2|m.5815",1,3,7,6,1,5,4,1,2,1,5,3,2,1,1,2,1,3,3,5,121
"391","lcl|c218576_g4_i1|m.5836",3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,181
"392","lcl|c218580_g2_i1|m.5839",2,4,2,2,2,1,5,2,3,0,1,3,1,3,2,4,2,0,2,1,166
"393","lcl|c218603_g6_i5|m.5857",0,0,0,0,1,0,1,2,1,0,2,1,2,1,1,0,0,3,0,0,452
"394","lcl|c218647_g3_i1|m.5884",3,6,2,2,5,4,6,2,4,2,1,0,2,7,5,1,2,6,0,3,357
"395","lcl|c218696_g8_i2|m.5906",0,22,0,26,0,14,3,15,12,16,4,14,12,0,10,0,15,0,13,12,146
"396","lcl|c218703_g1_i4|m.5907",7,6,8,4,3,4,7,4,5,2,7,6,3,5,5,4,3,7,4,6,130
"397","lcl|c218706_g7_i3|m.5908",2,0,3,0,0,0,0,1,2,1,0,0,1,0,1,1,1,0,1,1,289
"398","lcl|c218722_g1_i2|m.5914",4,6,8,4,7,4,9,3,6,5,3,2,3,2,2,6,5,3,0,4,267
"399","lcl|c218730_g2_i11|m.5922",0,0,6,0,17,0,4,24,43,0,5,24,30,23,3,5,0,0,0,6,225
"400","lcl|c218748_g1_i1|m.5931",3,4,4,2,5,4,8,5,3,5,3,4,3,7,8,6,5,5,2,6,114
"401","lcl|c218755_g2_i2|m.5948",2,1,5,4,1,1,1,1,0,1,2,2,2,4,0,1,2,3,1,1,292
"402","lcl|c218820_g4_i2|m.5974",4,2,5,3,2,0,4,5,3,1,1,2,2,3,0,2,5,1,3,2,322
"403","lcl|c218842_g3_i2|m.5986",4,11,6,5,6,7,12,11,7,6,6,7,8,11,9,7,12,5,4,7,369
"404","lcl|c218842_g3_i2|m.5987",9,6,2,2,7,6,7,2,4,2,8,5,3,9,8,3,1,4,2,7,117
"405","lcl|c218852_g5_i3|m.5993",6,3,3,2,2,3,4,5,3,3,4,3,2,1,4,3,4,5,0,9,240
"406","lcl|c218872_g2_i3|m.6012",8,10,8,6,7,7,11,5,8,6,10,6,7,6,4,8,5,5,3,5,254
"407","lcl|c218881_g3_i2|m.6022",1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,212
